"id","subject","invariant","type","severity","trace_ids","state_ids","title"
"v_d70348635bc1","checkout-invalid-step-progression","checkout-invalid-contact-blocks-payment","validation-blocking","high","t_4776b6e51fbc","s_fe1fe81a3ea6|s_9aec5b5247d7|s_ddf89d7c67f5","Invalid contact information must not advance to payment."
"v_51c5e96d4052","checkout-invalid-step-progression","checkout-invalid-contact-blocks-payment","validation-blocking","high","t_72a665381a5f","s_fe1fe81a3ea6|s_9aec5b5247d7|s_ddf89d7c67f5","Invalid contact information must not advance to payment."
"v_565cd5593129","checkout-invalid-step-progression","checkout-invalid-contact-blocks-payment","validation-blocking","high","t_dd473662b838","s_fe1fe81a3ea6|s_9aec5b5247d7|s_ddf89d7c67f5","Invalid contact information must not advance to payment."
"v_f31bb9e2bb5e","checkout-invalid-step-progression","checkout-invalid-contact-blocks-payment","validation-blocking","high","t_38e22e36d290","s_fe1fe81a3ea6|s_9aec5b5247d7|s_ddf89d7c67f5","Invalid contact information must not advance to payment."
"v_521ebc0c5cc1","checkout-invalid-step-progression","checkout-invalid-contact-blocks-payment","validation-blocking","high","t_aaed9a8cf2d1","s_fe1fe81a3ea6|s_9aec5b5247d7|s_ddf89d7c67f5","Invalid contact information must not advance to payment."
"v_b949820340e5","checkout-invalid-step-progression","checkout-invalid-contact-blocks-payment","validation-blocking","high","t_6f258f364615","s_fe1fe81a3ea6|s_9aec5b5247d7|s_ddf89d7c67f5","Invalid contact information must not advance to payment."
"v_3f65e0ddcfb0","checkout-skip-payment","checkout-express-review-requires-payment","action-forbidden-state","critical","t_8afe859b172a","s_36eb583c5e25|s_9bfd85710f34|s_a221645be934|s_1d3829056120|s_2c812142cc5b","Express review must not bypass payment."
"v_c633136d65f9","checkout-negative-total","checkout-invalid-cart-blocks-contact","validation-blocking","high","t_f39c85fe9554","s_30f20df1d627|s_279af0c5d97d","Invalid cart quantities must not advance to contact collection."
"v_3ecaa41f2087","checkout-negative-total","checkout-invalid-cart-blocks-contact","validation-blocking","high","t_eead915d8436","s_30f20df1d627|s_279af0c5d97d","Invalid cart quantities must not advance to contact collection."
"v_53fe843eaf73","checkout-negative-total","checkout-invalid-cart-blocks-contact","validation-blocking","high","t_3cf878f87c64","s_30f20df1d627|s_279af0c5d97d","Invalid cart quantities must not advance to contact collection."
"v_1939644f6da3","checkout-negative-total","checkout-invalid-cart-blocks-contact","validation-blocking","high","t_c5e986209787","s_30f20df1d627|s_279af0c5d97d","Invalid cart quantities must not advance to contact collection."
"v_551def077435","checkout-negative-total","checkout-invalid-cart-blocks-contact","validation-blocking","high","t_06bfd0dee3ce","s_30f20df1d627|s_279af0c5d97d","Invalid cart quantities must not advance to contact collection."
"v_773f335bca1c","checkout-negative-total","checkout-invalid-cart-blocks-contact","validation-blocking","high","t_d5ed020be2d0","s_30f20df1d627|s_279af0c5d97d","Invalid cart quantities must not advance to contact collection."
"v_c39f2c459105","checkout-negative-total","checkout-invalid-cart-blocks-contact","validation-blocking","high","t_d5ee12f63a8d","s_30f20df1d627|s_279af0c5d97d","Invalid cart quantities must not advance to contact collection."
"v_d9476d995d45","checkout-negative-total","checkout-invalid-cart-blocks-contact","validation-blocking","high","t_cc0c5ac1fadc","s_30f20df1d627|s_279af0c5d97d","Invalid cart quantities must not advance to contact collection."
"v_9a6b83b8db67","checkout-negative-total","checkout-invalid-cart-blocks-contact","validation-blocking","high","t_ed023a32fba4","s_30f20df1d627|s_279af0c5d97d","Invalid cart quantities must not advance to contact collection."
"v_3a2007904eb4","checkout-negative-total","checkout-invalid-cart-blocks-contact","validation-blocking","high","t_957f809a5d73","s_30f20df1d627|s_279af0c5d97d","Invalid cart quantities must not advance to contact collection."
"v_779ea30d4823","checkout-negative-total","checkout-invalid-cart-blocks-contact","validation-blocking","high","t_97e464563a7a","s_30f20df1d627|s_279af0c5d97d","Invalid cart quantities must not advance to contact collection."
"v_d2ce6798f24a","checkout-negative-total","checkout-invalid-cart-blocks-contact","validation-blocking","high","t_ea24f46e5df0","s_30f20df1d627|s_279af0c5d97d","Invalid cart quantities must not advance to contact collection."
"v_dcedb7054888","checkout-negative-total","checkout-invalid-cart-blocks-contact","validation-blocking","high","t_c087b325b19e","s_30f20df1d627|s_279af0c5d97d","Invalid cart quantities must not advance to contact collection."
"v_29744ff021fe","checkout-negative-total","checkout-invalid-cart-blocks-contact","validation-blocking","high","t_f3232ec9b9c5","s_30f20df1d627|s_279af0c5d97d","Invalid cart quantities must not advance to contact collection."
"v_5eb4d41bcc6a","checkout-back-loses-contact","checkout-confirmation-paths-equivalent","path-equivalence","medium","t_ef4755e9d517|t_d9d4b91b6e80","s_3f095d1abdf8|s_ef9b9c0a8be0","Alternative checkout paths that complete an order must converge to the same confirmation state."
"v_a71700cbaffd","settings-alt-save-stale","settings-profile-save-paths-equivalent","path-equivalence","medium","t_93982d6d1089|t_7cc3481ad291","s_b35ad6246d3c|s_16c83dbbe8c0","Normal and quick profile save paths must converge to the same saved profile state."
"v_c523bde1591e","settings-cancel-persists-change","settings-cancel-does-not-save","action-forbidden-state","high","t_0466048ead2d","s_c4f2c3e3a902|s_70c360c1d33a","Cancel must not persist edited profile data."
"v_490b7c4e3b43","settings-reset-does-not-clear","settings-reset-clears-edits","action-forbidden-state","high","t_c278fd5eecaa","s_f073a0b2946a|s_5270d1d84916|s_a82662635441|s_5270d1d84916","Reset must clear previously saved profile edits."
"v_0b849bc211c0","settings-stale-notification","settings-notification-save-paths-equivalent","path-equivalence","medium","t_c202da6eddc6|t_0eeb712f1b64","s_2a172c5b1c79|s_81be9a85fe41","Normal and quick notification save paths must converge to the same notification state."
"v_70d3394c8db8","transfer-invalid-amount-progression","transfer-invalid-amount-blocks-recipient","validation-blocking","high","t_f41c2e94f005","s_8dfb89917575|s_f226652fd958","Invalid transfer amounts must not advance to recipient collection."
"v_0aa542cdef4e","transfer-invalid-amount-progression","transfer-invalid-amount-blocks-recipient","validation-blocking","high","t_0f4f39150d96","s_8dfb89917575|s_f226652fd958","Invalid transfer amounts must not advance to recipient collection."
"v_fc93168116eb","transfer-invalid-amount-progression","transfer-invalid-amount-blocks-recipient","validation-blocking","high","t_88cbb203baed","s_8dfb89917575|s_f226652fd958","Invalid transfer amounts must not advance to recipient collection."
"v_44091feaeacb","transfer-invalid-amount-progression","transfer-invalid-amount-blocks-recipient","validation-blocking","high","t_ef710de71e68","s_8dfb89917575|s_f226652fd958","Invalid transfer amounts must not advance to recipient collection."
"v_160d5b77fae5","transfer-invalid-amount-progression","transfer-invalid-amount-blocks-recipient","validation-blocking","high","t_6cf89dae7040","s_8dfb89917575|s_f226652fd958","Invalid transfer amounts must not advance to recipient collection."
"v_ee4dbce0488e","transfer-invalid-amount-progression","transfer-invalid-amount-blocks-recipient","validation-blocking","high","t_cc035fb81bb9","s_8dfb89917575|s_f226652fd958","Invalid transfer amounts must not advance to recipient collection."
"v_69ae996387b6","transfer-invalid-amount-progression","transfer-invalid-amount-blocks-recipient","validation-blocking","high","t_ba1219dd8411","s_8dfb89917575|s_f226652fd958","Invalid transfer amounts must not advance to recipient collection."
"v_924ce1e6a502","transfer-invalid-amount-progression","transfer-invalid-amount-blocks-recipient","validation-blocking","high","t_6a87e17c6f1d","s_8dfb89917575|s_f226652fd958","Invalid transfer amounts must not advance to recipient collection."
"v_b64ac33aa009","transfer-invalid-amount-progression","transfer-invalid-amount-blocks-recipient","validation-blocking","high","t_46b6c9bb8ad6","s_8dfb89917575|s_f226652fd958","Invalid transfer amounts must not advance to recipient collection."
"v_df772e515ea9","transfer-invalid-amount-progression","transfer-invalid-amount-blocks-recipient","validation-blocking","high","t_c17eec419560","s_8dfb89917575|s_f226652fd958","Invalid transfer amounts must not advance to recipient collection."
"v_4e36e802cb4e","transfer-invalid-amount-progression","transfer-invalid-amount-blocks-recipient","validation-blocking","high","t_f54d978756e1","s_8dfb89917575|s_f226652fd958","Invalid transfer amounts must not advance to recipient collection."
"v_43887dce489b","transfer-invalid-recipient-progression","transfer-invalid-recipient-blocks-review","validation-blocking","high","t_f92a74d46164","s_43f7bef43828|s_e84815c7765b|s_b5c184cdadec","Invalid transfer recipients must not advance to review."
"v_994ae10b806b","transfer-invalid-recipient-progression","transfer-invalid-recipient-blocks-review","validation-blocking","high","t_b7bd2d57c819","s_43f7bef43828|s_e84815c7765b|s_b5c184cdadec","Invalid transfer recipients must not advance to review."
"v_dc768872add8","transfer-invalid-recipient-progression","transfer-invalid-recipient-blocks-review","validation-blocking","high","t_8c958a08292e","s_43f7bef43828|s_e84815c7765b|s_b5c184cdadec","Invalid transfer recipients must not advance to review."
"v_888c9e185d93","transfer-invalid-recipient-progression","transfer-invalid-recipient-blocks-review","validation-blocking","high","t_2f6b0a11d962","s_43f7bef43828|s_e84815c7765b|s_b5c184cdadec","Invalid transfer recipients must not advance to review."
"v_c13271fb8126","transfer-invalid-recipient-progression","transfer-invalid-recipient-blocks-review","validation-blocking","high","t_61b09326d04e","s_43f7bef43828|s_e84815c7765b|s_b5c184cdadec","Invalid transfer recipients must not advance to review."
"v_1dc58a56ab3d","transfer-invalid-recipient-progression","transfer-invalid-recipient-blocks-review","validation-blocking","high","t_7be23801a55d","s_43f7bef43828|s_e84815c7765b|s_b5c184cdadec","Invalid transfer recipients must not advance to review."
"v_9e9c5d473cf3","transfer-invalid-recipient-progression","transfer-invalid-recipient-blocks-review","validation-blocking","high","t_bc4cfb0f9e56","s_43f7bef43828|s_e84815c7765b|s_b5c184cdadec","Invalid transfer recipients must not advance to review."
"v_0ca412ca52a9","transfer-invalid-recipient-progression","transfer-confirmation-paths-equivalent","path-equivalence","medium","t_2d376002ea56|t_7be23801a55d","s_656ec12419b4|s_48e4fbdbf36f","Normal and back/edit transfer paths must converge to the same receipt state."
"v_10b4888ead8f","transfer-skip-confirmation","transfer-confirmation-requires-confirm-action","auth-precondition","critical","t_52c3244e797e","s_182e13706992|s_ccbfa697af25","Transfer confirmation must be preceded by the explicit confirm action."
"v_55c317f94780","transfer-skip-confirmation","transfer-confirmation-requires-confirm-action","auth-precondition","critical","t_6cf89dae7040","s_182e13706992|s_d8c9d724b613|s_ccbfa697af25","Transfer confirmation must be preceded by the explicit confirm action."
"v_3a5f14411412","transfer-skip-confirmation","transfer-confirmation-requires-confirm-action","auth-precondition","critical","t_61b09326d04e","s_182e13706992|s_c00b4b99f4d1|s_c4c6bd2d2e9a|s_dba96c869e61","Transfer confirmation must be preceded by the explicit confirm action."
"v_20003d5f6a60","transfer-back-loses-transfer","transfer-confirmation-paths-equivalent","path-equivalence","medium","t_2d376002ea56|t_bb6454bbbf09","s_8cdb85b8f356|s_29cb5e1f4e4a","Normal and back/edit transfer paths must converge to the same receipt state."
